iter	RMSE
0	0.4371786462
1	0.4062525967
2	0.377852925
3	0.351009759
4	0.3260679114
5	0.3030869126
6	0.2815113838
7	0.2616688292
8	0.2432143065
9	0.2262113563
10	0.2102368853
11	0.1953412139
12	0.1815175331
13	0.168783226
14	0.1570587751
15	0.1462132968
16	0.1360676714
17	0.1266349243
18	0.1179372959
19	0.1097885043
20	0.1022444224
21	0.09538321923
22	0.08895919218
23	0.08299708314
24	0.07748675902
25	0.07233766027
26	0.06744077337
27	0.06299603514
28	0.05902575562
29	0.05522692736
30	0.05174286113
31	0.04843448074
32	0.04548988518
33	0.04276252639
34	0.04026359384
35	0.03791493484
36	0.03575803686
37	0.03379153551
38	0.03197454274
39	0.03016375858
40	0.02850447968
41	0.02707699749
42	0.02568590508
43	0.02444948198
44	0.02336716908
45	0.02235697668
46	0.02137218831
47	0.0204038252
48	0.01959368157
49	0.01880281643
50	0.01817159623
51	0.01747041624
52	0.0168510244
53	0.01625822143
54	0.01581009553
55	0.01541513229
56	0.01493778838
57	0.0145145152
58	0.0141719137
59	0.01385498372
60	0.01359726365
61	0.01334232766
62	0.01312181905
63	0.01288889246
64	0.01263949346
65	0.01241398993
66	0.01227425463
67	0.01205447179
68	0.01191680862
69	0.01172198908
70	0.01161866565
71	0.01144108984
72	0.01134595856
73	0.01125284502
74	0.01108212554
75	0.01096222059
76	0.01083230794
77	0.01072756006
78	0.01056760792
79	0.01050558242
80	0.01041163513
81	0.01031055284
82	0.01024308988
83	0.01011933361
84	0.01002836481
85	0.009971524056
86	0.009884806013
87	0.009807658372
88	0.009702450852
89	0.009614446803
90	0.009528661603
91	0.009439395173
92	0.009389721536
93	0.009309514418
94	0.009274742634
95	0.009225475097
96	0.009142335804
97	0.009044048745
98	0.008995088849
99	0.008933138921
100	0.008900085661
101	0.008809336829
102	0.008772463702
103	0.008738057695
104	0.008693709419
105	0.008649333264
106	0.008612580167
107	0.008582813183
108	0.00855404305
109	0.008514747804
110	0.008470269791
111	0.008444998171
112	0.008413011835
113	0.008374380791
114	0.008370914987
115	0.008330399004
116	0.008282338305
117	0.008233948322
118	0.008224750822
119	0.008222937294
120	0.00816926714
121	0.008122425655
122	0.008084328393
123	0.008054562132
124	0.0080315946
125	0.00799232797
126	0.007973522253
127	0.007924201761
128	0.007918894151
129	0.00787031153
130	0.007868809573
131	0.007859656327
132	0.007841318752
133	0.007773401874
134	0.007772023018
135	0.007771000119
136	0.007767262246
137	0.007751752746
138	0.007740293884
139	0.007703568088
140	0.007679225597
141	0.00765883212
142	0.007654583393
143	0.007612116947
144	0.007542900426
145	0.007517912315
146	0.007515580146
147	0.007492299396
148	0.007487319518
149	0.00746032674
150	0.007447861088
151	0.007409838691
152	0.007406131546
153	0.00734811484
154	0.007320395004
155	0.007314210822
156	0.007278237476
157	0.007274022384
158	0.007272189438
159	0.00724604066
160	0.007242631473
161	0.007217150528
162	0.00721491961
163	0.007170431065
164	0.007136877992
165	0.007109858721
166	0.007070926425
167	0.007043039433
168	0.007017403557
169	0.006995379757
170	0.006963800272
171	0.006937809239
172	0.006926448583
173	0.006882534535
174	0.006871848364
175	0.006839219025
176	0.006834568907
177	0.00681480964
178	0.006811214782
179	0.006786002605
180	0.006767434836
181	0.006730320418
182	0.006719533019
183	0.006703286548
184	0.006667885444
185	0.006638101052
186	0.006605165471
187	0.006581529722
188	0.006553183987
189	0.006532362716
190	0.006521167887
191	0.006500164335
192	0.006464124498
193	0.00644601288
194	0.006410417941
195	0.006389124547
196	0.006368017934
197	0.00635640616
198	0.006323613655
199	0.006297149985
200	0.006273969031
201	0.006248880306
202	0.006223823138
203	0.006199391915
204	0.00619743852
205	0.006181671116
206	0.006156314849
207	0.006154237618
208	0.006130073106
209	0.006109905667
210	0.006086448376
211	0.006069718928
212	0.006055297398
213	0.006036105919
214	0.006018441137
215	0.005993547101
