iter	Passed	Remaining
411	3748	5349
412	3758	5341
413	3768	5334
414	3784	5335
415	3795	5328
416	3808	5324
417	3821	5320
418	3828	5309
419	3841	5304
420	3850	5295
421	3857	5283
422	3865	5273
423	3872	5261
424	3882	5253
425	3889	5240
426	3896	5229
427	3904	5218
428	3911	5206
429	3918	5194
430	3925	5182
431	3933	5171
432	3939	5159
433	3946	5147
434	3953	5135
435	3961	5123
436	3969	5113
437	3975	5101
438	3985	5092
439	3993	5083
440	4003	5074
441	4012	5065
442	4021	5056
443	4031	5048
444	4039	5037
445	4050	5030
446	4057	5019
447	4066	5010
448	4076	5002
449	4086	4995
450	4097	4987
451	4108	4981
452	4120	4975
453	4129	4966
454	4143	4963
455	4151	4953
456	4159	4942
457	4174	4939
458	4221	4975
459	4235	4972
460	4247	4966
461	4257	4958
462	4269	4951
463	4280	4944
464	4290	4936
465	4302	4930
466	4314	4924
467	4323	4914
468	4332	4905
469	4343	4898
470	4354	4890
471	4366	4884
472	4381	4881
473	4396	4878
474	4411	4875
475	4424	4870
476	4435	4863
477	4447	4856
478	4459	4850
479	4471	4843
480	4481	4835
481	4495	4831
482	4509	4826
483	4522	4821
484	4534	4814
485	4546	4808
486	4558	4801
487	4567	4792
488	4577	4783
489	4588	4775
490	4598	4767
491	4608	4757
492	4616	4747
493	4627	4739
494	4635	4729
495	4645	4720
496	4655	4711
497	4664	4702
498	4674	4693
499	4684	4684
500	4694	4676
501	4703	4666
502	4713	4657
503	4722	4647
504	4730	4637
505	4741	4628
506	4750	4619
507	4760	4610
508	4771	4602
509	4781	4594
510	4791	4584
511	4801	4576
512	4811	4567
513	4820	4557
514	4830	4549
515	4840	4540
516	4850	4531
517	4859	4521
518	4869	4513
519	4879	4503
520	4889	4495
521	4899	4486
522	4909	4477
523	4917	4466
524	4927	4458
525	4937	4449
526	4947	4440
527	4957	4431
528	4970	4425
529	4983	4419
530	4999	4415
531	5010	4408
532	5021	4399
533	5032	4391
534	5043	4383
535	5053	4374
536	5063	4365
537	5071	4354
538	5081	4345
539	5092	4337
540	5102	4328
541	5113	4320
542	5124	4313
543	5134	4303
544	5144	4294
545	5152	4283
546	5161	4274
547	5172	4265
548	5181	4256
549	5191	4247
550	5199	4237
551	5210	4228
552	5218	4218
553	5232	4212
554	5252	4211
555	5263	4203
556	5276	4196
557	5289	4189
558	5303	4183
559	5322	4181
560	5335	4175
561	5344	4165
562	5362	4162
563	5373	4153
564	5380	4142
565	5391	4133
566	5402	4125
567	5411	4115
568	5420	4105
569	5430	4096
570	5439	4086
571	5447	4075
572	5454	4064
573	5460	4052
574	5471	4044
575	5481	4035
576	5488	4023
577	5496	4013
578	5506	4003
579	5535	4008
580	5550	4002
581	5573	4003
582	5601	4006
583	5630	4010
584	5653	4010
585	5667	4003
586	5678	3995
587	5689	3986
588	5700	3977
589	5708	3966
590	5716	3956
591	5724	3945
592	5734	3935
593	5746	3927
594	5756	3918
595	5765	3908
596	5774	3897
597	5781	3886
598	5792	3877
599	5802	3868
600	5814	3860
601	5824	3850
602	5832	3840
603	5841	3829
604	5848	3818
605	5858	3808
606	5866	3798
607	5875	3787
608	5900	3788
609	5912	3780
610	5926	3772
611	5937	3764
612	5952	3757
613	5963	3748
614	5976	3741
615	6057	3776
616	6067	3766
617	6078	3757
618	6086	3746
619	6096	3736
620	6105	3725
621	6113	3715
622	6122	3704
623	6130	3694
624	6139	3683
625	6148	3673
626	6158	3663
627	6166	3652
628	6175	3642
629	6184	3632
630	6193	3621
631	6203	3612
632	6213	3602
633	6224	3593
634	6234	3583
635	6243	3573
636	6253	3563
637	6262	3553
638	6271	3543
639	6281	3533
640	6290	3523
641	6301	3513
642	6308	3502
643	6318	3492
644	6330	3484
645	6339	3474
646	6352	3465
647	6372	3461
648	6389	3455
649	6399	3445
650	6408	3435
651	6419	3426
652	6431	3417
653	6440	3407
654	6451	3398
655	6461	3388
656	6471	3378
657	6482	3369
658	6492	3359
659	6502	3349
660	6512	3340
661	6523	3330
662	6533	3321
663	6544	3311
664	6554	3302
665	6567	3293
666	6579	3284
667	6591	3276
668	6601	3266
669	6615	3258
670	6628	3249
671	6640	3241
672	6650	3231
673	6661	3222
674	6670	3211
675	6679	3201
676	6690	3191
677	6699	3181
678	6710	3172
679	6718	3161
680	6729	3152
681	6741	3143
682	6754	3134
683	6765	3125
684	6777	3116
685	6788	3107
686	6796	3096
687	6807	3087
688	6816	3076
689	6826	3067
690	6837	3057
691	6846	3047
692	6855	3036
693	6866	3027
694	6875	3017
695	6882	3006
696	6889	2994
697	6896	2983
698	6903	2972
699	6910	2961
700	6917	2950
701	6923	2939
702	6929	2927
703	6938	2917
704	6947	2907
705	6954	2896
706	6962	2885
707	6970	2874
708	6977	2863
709	6986	2853
710	6994	2842
711	7001	2832
712	7007	2820
713	7015	2810
714	7022	2799
715	7031	2789
716	7039	2778
717	7048	2768
718	7055	2757
719	7063	2746
720	7071	2736
721	7080	2726
722	7087	2715
723	7093	2704
724	7099	2692
725	7105	2681
726	7113	2671
727	7119	2660
728	7127	2649
729	7134	2638
730	7141	2627
731	7150	2617
732	7160	2608
733	7168	2597
734	7179	2588
735	7186	2577
736	7196	2568
737	7204	2557
738	7212	2547
739	7219	2536
740	7227	2526
741	7234	2515
742	7245	2506
743	7255	2496
744	7262	2485
745	7275	2477
746	7295	2470
747	7309	2462
748	7320	2453
749	7329	2443
750	7339	2433
751	7354	2425
752	7367	2416
753	7382	2408
754	7394	2399
755	7402	2389
756	7414	2380
757	7425	2370
758	7440	2362
759	7449	2352
760	7461	2343
761	7470	2333
762	7478	2322
763	7486	2312
764	7493	2301
765	7501	2291
766	7507	2280
767	7514	2270
768	7521	2259
769	7529	2249
770	7535	2238
771	7543	2227
772	7550	2217
773	7556	2206
774	7563	2195
775	7569	2185
776	7579	2175
777	7587	2165
778	7595	2154
779	7602	2144
780	7609	2133
781	7618	2123
782	7625	2113
783	7633	2103
784	7640	2092
785	7653	2083
786	7684	2079
787	7707	2073
788	7715	2063
789	7729	2054
790	7739	2045
791	7748	2034
792	7758	2025
793	7778	2018
794	7793	2009
795	7805	2000
796	7815	1990
797	7824	1980
798	7836	1971
799	7844	1961
800	7851	1950
801	7860	1940
802	7867	1930
803	7874	1919
804	7881	1909
805	7890	1899
806	7897	1888
807	7908	1879
808	7914	1868
809	7925	1859
810	7938	1850
811	7945	1839
812	7953	1829
813	7960	1818
814	7966	1808
815	7972	1797
816	7979	1787
817	7987	1777
818	7993	1766
819	8002	1756
820	8011	1746
821	8018	1736
822	8025	1725
823	8032	1715
824	8041	1705
825	8050	1695
826	8059	1685
827	8067	1675
828	8074	1665
829	8083	1655
830	8090	1645
831	8097	1635
832	8105	1625
833	8114	1615
834	8120	1604
835	8128	1594
836	8135	1584
837	8142	1574
838	8148	1563
839	8155	1553
840	8162	1543
841	8169	1532
842	8177	1522
843	8184	1512
844	8193	1502
845	8202	1493
846	8211	1483
847	8218	1473
848	8231	1463
849	8242	1454
850	8252	1444
851	8262	1435
852	8275	1426
853	8285	1416
854	8299	1407
855	8310	1398
856	8319	1388
857	8328	1378
858	8336	1368
859	8345	1358
860	8354	1348
861	8367	1339
862	8379	1330
863	8395	1321
864	8545	1333
865	8558	1324
866	8570	1314
867	8584	1305
868	8594	1295
869	8603	1285
870	8615	1275
871	8628	1266
872	8642	1257
873	8651	1247
874	8660	1237
875	8673	1227
876	8681	1217
877	8690	1207
878	8700	1197
879	8708	1187
880	8719	1177
881	8725	1167
882	8740	1158
883	8752	1148
884	8760	1138
885	8767	1128
886	8774	1117
887	8783	1107
888	8789	1097
889	8797	1087
890	8803	1076
891	8809	1066
892	8816	1056
893	8825	1046
894	8834	1036
895	8843	1026
896	8850	1016
897	8858	1006
898	8866	996
899	8874	986
900	8882	975
901	8888	965
902	8898	955
903	8908	946
904	8918	936
905	8925	926
906	8933	915
907	8942	906
908	8950	896
909	8958	885
910	8964	875
911	8970	865
912	8988	856
913	8995	846
914	9002	836
915	9012	826
916	9019	816
917	9026	806
918	9033	796
919	9043	786
920	9052	776
921	9060	766
922	9073	756
923	9086	747
924	9102	738
925	9116	728
926	9128	718
927	9142	709
928	9151	699
929	9162	689
930	9171	679
931	9177	669
932	9184	659
933	9191	649
934	9199	639
935	9205	629
936	9211	619
937	9219	609
938	9225	599
939	9234	589
940	9240	579
941	9251	569
942	9259	559
943	9267	549
944	9273	539
945	9282	529
946	9289	519
947	9296	509
948	9304	500
949	9314	490
950	9322	480
951	9329	470
952	9339	460
953	9346	450
954	9355	440
955	9362	430
956	9371	421
957	9378	411
958	9385	401
959	9392	391
960	9399	381
961	9405	371
962	9412	361
963	9419	351
964	9426	341
965	9432	331
966	9440	322
967	9449	312
968	9456	302
969	9465	292
970	9475	283
971	9483	273
972	9491	263
973	9500	253
974	9510	243
975	9517	234
976	9525	224
977	9534	214
978	9542	204
979	9549	194
980	9559	185
981	9575	175
982	9586	165
983	9598	156
984	9606	146
985	9612	136
986	9618	126
987	9625	116
988	9632	107
989	9641	97
990	9647	87
991	9659	77
992	9675	68
993	9688	58
994	9694	48
995	9702	38
996	9709	29
997	9720	19
998	9727	9
999	9735	0
